Project_ID,Name Projekt,projekt_Beginn,Plan Bau fertig,Fertig_IST,Kosten Plan,Ist_Kosten,Project_team
GT-443403,Elektroarbeiten // Gotthard-Graf-Ring,2016-01-05,2016-02-14,2016-03-16,109376.33,160520.16,Team 2
EM-218248,Landschaftsbau // Seipstr.,2013-07-09,2013-08-08,2013-08-10,50989.61,58027.92,Team 2
WQ-638596,Landschaftsbau // Heintzegasse,2016-05-29,2016-06-13,2016-06-14,144887.43,169761.85,Team 1
AB-253032,Baumbestand // Daniel-Lindner-Ring,2013-03-29,2013-04-13,2013-04-12,18382.74,20711.13,Team 3
OW-209586,Spielplatz // Kreuselstraße,2014-04-14,2014-04-25,2014-04-29,127596.26,166183.49,Team 4
NE-114600,Elektroarbeiten // Ewa-Davids-Ring,2014-01-17,2014-03-23,2014-03-25,123028.6,126032.87,Team 4
BQ-163282,Elektroarbeiten // Krokerstraße,2020-10-06,2020-11-25,2020-11-18,74640.03,88757.76,Team 1
LN-239208,Landschaftsbau // Wielochweg,2019-11-06,2019-11-20,2019-11-22,76065.6,91987.33,Team 1
QL-154304,Ubahn // Jungferstr.,2015-11-08,2016-01-13,2015-12-11,551942.83,834229.23,Team 4
TW-667682,Landschaftsbau // Heidi-Hövel-Gasse,2017-11-26,2017-12-25,2018-01-31,49704.53,61883.11,Team 2
OX-146228,Baumbestand // Dietlinde-Mies-Weg,2013-07-10,2013-07-27,2013-07-30,46538.69,53161.26,Team 1
CW-905561,Landschaftsbau // Zenta-Heydrich-Straße,2019-04-27,2019-05-17,2019-05-21,38315.35,53783.4,Team 3
JB-723769,Elektroarbeiten // Oswin-Hettner-Weg,2016-10-21,2016-11-04,2016-10-29,69351.94,69075.79,Team 1
RM-331493,Landschaftsbau // Trappstraße,2019-09-10,2019-10-02,2019-10-07,53724.24,53819.28,Team 2
ZT-688864,Stadtpark // Ida-Löffler-Gasse,2020-05-03,2020-06-19,2020-06-19,160471.99,256930.82,Team 2
SR-898933,Baumbestand // Christin-Bohnbach-Allee,2013-12-23,2014-01-07,2014-01-09,53091.08,64063.27,Team 4
UK-058723,Baumbestand // Rosemannallee,2014-04-13,2014-04-20,2014-04-20,64640.06,66141.34,Team 3
UM-466917,Landschaftsbau // Röhrdanzring,2018-02-19,2018-02-23,2018-02-27,64987.32,96592.49,Team 4
KZ-472207,Elektroarbeiten // Hans-Günter-Wagner-Allee,2014-04-09,2014-05-16,2014-05-10,146143.57,163001.44,Team 1
TS-899170,Ubahn // Fatma-Preiß-Ring,2015-08-01,2015-09-14,2016-01-27,788263.54,922038.47,Team 1
QC-328106,Baumbestand // Helmtrud-Paffrath-Allee,2017-05-09,2017-05-27,2017-05-29,17926.12,17609.01,Team 4
YA-612370,Landschaftsbau // Schollweg,2018-03-15,2018-05-02,2018-05-03,70404.41,109486.28,Team 4
GE-742886,Baumbestand // Halil-Kreusel-Weg,2013-05-09,2013-05-10,2013-05-11,70637.58,73015.0,Team 1
OY-028205,Elektroarbeiten // Eckbauerallee,2014-03-17,2014-05-01,2014-04-25,121305.31,119626.17,Team 1
VI-877850,Stadtpark // Trudel-Lorch-Gasse,2020-10-21,2020-12-05,2020-12-04,159715.43,162149.49,Team 4
VZ-607972,Baumbestand // Schwitalweg,2017-05-03,2017-05-07,2017-05-13,108084.48,116709.28,Team 3
IA-814952,Ubahn // Sami-Lachmann-Allee,2018-07-20,2018-11-10,2018-12-29,428764.06,530423.41,Team 3
BV-317542,Ubahn // Krauseplatz,2015-12-19,2016-03-04,2016-02-21,206363.82,328735.4,Team 4
RT-876764,Ubahn // Nurettin-Heuser-Platz,2017-09-22,2018-02-14,2018-03-14,695001.1,922877.27,Team 2
XU-105798,Elektroarbeiten // Holtstr.,2015-09-25,2015-11-16,2015-11-10,79954.06,98660.42,Team 1
BF-804835,Stadtpark // Patrick-Hahn-Gasse,2021-03-14,2021-04-18,2021-04-17,160161.2,247406.26,Team 2
PM-024346,Stadtpark // Neuschäferweg,2021-03-30,2021-07-04,2021-06-14,222636.99,303691.2,Team 3
WW-398667,Stadtpark // Knappegasse,2018-12-07,2019-01-21,2019-01-21,96515.67,112969.8,Team 4
RK-357648,Baumbestand // Florence-Krein-Straße,2021-07-21,2021-07-22,2021-07-27,63187.22,66170.38,Team 4
UD-928262,Elektroarbeiten // Patric-Langern-Allee,2021-05-13,2021-06-28,2021-06-27,101367.89,163860.82,Team 2
PW-845283,Elektroarbeiten // Fliegnerweg,2015-10-02,2016-01-05,2015-12-31,109166.35,115251.76,Team 1
ET-114685,Landschaftsbau // Rahel-Rudolph-Platz,2017-03-06,2017-03-28,2017-03-30,129992.06,156326.52,Team 2
CP-723235,Landschaftsbau // Rotraud-Klemt-Platz,2020-01-22,2020-02-07,2020-02-08,96608.62,82391.22,Team 1
RS-198524,Elektroarbeiten // Gerhart-Scholtz-Straße,2013-08-14,2013-10-06,2013-10-25,67429.77,97437.28,Team 3
RG-826461,Baumbestand // Tröstgasse,2016-08-20,2016-09-02,2016-09-07,98671.83,111430.13,Team 1
JD-195314,Baumbestand // Noackstr.,2019-09-17,2019-09-28,2019-09-30,49999.82,53673.52,Team 1
JE-241947,Ubahn // Traugott-Hamann-Weg,2021-10-18,2021-12-05,2022-01-04,663288.04,944275.35,Team 2
RQ-200515,Baumbestand // Philomena-Boucsein-Platz,2017-11-22,2017-12-02,2017-12-03,31401.63,38523.38,Team 4
EX-720523,Baumbestand // Stefano-Köhler-Weg,2014-11-25,2014-12-02,2015-01-10,65132.57,104334.55,Team 2
VB-581769,Landschaftsbau // Bährgasse,2015-12-09,2016-01-01,2016-02-05,123138.7,137445.4,Team 2
ZQ-859765,Stadtpark // Dietzallee,2014-11-19,2014-12-06,2014-12-06,302296.22,348882.56,Team 4
QM-156607,Straßenbau // Drubinring,2020-12-19,2021-03-30,2021-05-21,298088.32,354551.67,Team 4
OH-294559,Straßenbau // Stiffelring,2015-05-21,2015-10-16,2015-12-06,298556.63,344685.33,Team 4
VG-085150,Baumbestand // Ansgar-Bruder-Gasse,2014-02-25,2014-03-04,2014-03-08,62283.95,66614.71,Team 1
AU-076516,Elektroarbeiten // Adam-Reuter-Straße,2015-08-22,2015-08-26,2015-08-26,37697.62,42652.17,Team 4
GV-924380,Ubahn // Junkengasse,2017-06-16,2017-12-11,2017-11-17,527247.44,729375.12,Team 4
RC-236239,Elektroarbeiten // Philomena-Hermann-Weg,2019-04-18,2019-05-16,2019-05-17,138843.44,205353.09,Team 2
FK-013933,Straßenbau // Kobeltallee,2021-05-07,2021-05-24,2021-05-24,225553.76,227608.98,Team 3
HH-269664,Baumbestand // Gönül-Baum-Weg,2014-11-06,2014-11-17,2014-11-13,55859.09,58280.24,Team 4
WB-336669,Elektroarbeiten // Stiffelplatz,2019-12-29,2020-02-14,2020-02-14,162346.3,184721.53,Team 1
RB-351000,Baumbestand // Henckring,2017-08-19,2017-08-29,2017-08-28,58460.97,61668.77,Team 4
GG-149469,Landschaftsbau // Zimmergasse,2013-09-04,2013-09-10,2013-09-17,170251.8,244573.35,Team 3
UE-900586,Ubahn // Müllergasse,2018-03-02,2018-09-26,2018-08-23,645016.91,924870.22,Team 4
RW-387551,Baumbestand // Wilfried-Lübs-Ring,2013-07-14,2013-07-14,2013-07-17,72959.14,103985.03,Team 2
JO-152921,Baumbestand // Möchlichenring,2019-05-31,2019-06-02,2019-06-12,74679.55,70944.21,Team 3
SE-367325,Baumbestand // Schinkestr.,2015-05-22,2015-05-25,2015-05-29,21929.64,34543.4,Team 2
XA-863233,Straßenbau // Ebertgasse,2019-05-04,2019-07-27,2019-09-29,164500.29,252431.48,Team 4
PB-851251,Stadtpark // Davidsallee,2020-03-14,2020-05-21,2020-05-06,132622.77,168081.49,Team 3
ZM-784281,Stadtpark // Hövelring,2013-03-24,2013-06-08,2013-06-06,210957.51,231448.5,Team 4
VK-248491,Elektroarbeiten // Pölitzstraße,2017-05-24,2017-08-27,2017-08-30,123590.04,147616.34,Team 4
GG-058180,Stadtpark // Kästerplatz,2019-01-03,2019-02-14,2019-03-22,185504.08,333138.66,Team 2
QL-504949,Stadtpark // Thiesweg,2019-06-29,2019-09-03,2019-09-03,76462.57,110428.75,Team 2
ZJ-243675,Baumbestand // Ringstr.,2014-09-24,2014-10-06,2014-10-07,22937.63,26625.2,Team 1
UY-446545,Spielplatz // Marco-Speer-Allee,2014-06-18,2014-07-27,2014-08-15,43014.52,45666.43,Team 2
VS-823602,Stadtpark // Raik-Neuschäfer-Platz,2014-02-02,2014-03-05,2014-02-15,165199.29,166828.23,Team 3
WF-950196,Elektroarbeiten // Bolnbachplatz,2017-03-17,2017-06-03,2017-05-30,122603.74,148386.95,Team 1
SY-069298,Elektroarbeiten // Stolzeweg,2017-08-13,2017-09-24,2017-10-09,152426.19,169248.03,Team 3
ZM-556924,Landschaftsbau // Schleichgasse,2020-09-12,2020-09-16,2020-09-21,75018.8,90956.28,Team 3
XS-474067,Ubahn // Zirmeplatz,2017-03-05,2017-06-22,2017-06-20,603149.63,723966.47,Team 2
KH-704644,Landschaftsbau // Boucseinstr.,2021-11-09,2021-12-10,2021-12-15,4504.04,6750.21,Team 3
TI-490921,Baumbestand // Scheibeallee,2021-01-04,2021-01-18,2021-01-19,23332.54,25841.0,Team 1
HT-886225,Straßenbau // Gesine-Häring-Platz,2016-12-25,2017-04-09,2017-04-12,48160.32,51448.95,Team 2
UY-644989,Baumbestand // Heidrichgasse,2020-07-21,2020-08-11,2020-08-11,54575.45,66749.42,Team 1
PC-890539,Baumbestand // Inna-Noack-Ring,2013-11-15,2013-11-25,2013-11-25,73652.47,76354.78,Team 1
WX-924813,Elektroarbeiten // Faustweg,2016-02-14,2016-04-24,2016-05-07,106549.55,149575.9,Team 3
CT-953857,Straßenbau // Linus-Gunpf-Platz,2015-08-01,2015-11-08,2015-11-07,216128.74,248605.22,Team 3
DY-068060,Elektroarbeiten // Ramazan-Drewes-Weg,2020-12-25,2021-01-28,2021-02-20,92816.43,110949.05,Team 3
BC-307079,Elektroarbeiten // Trudel-Dussen van-Gasse,2017-08-15,2017-10-30,2017-11-21,111371.92,170917.46,Team 3
TY-783388,Landschaftsbau // Käthe-Margraf-Platz,2019-06-30,2019-08-01,2019-08-04,22991.94,26211.3,Team 2
EK-885129,Elektroarbeiten // Nermin-Renner-Weg,2015-05-14,2015-08-15,2015-08-10,139387.11,147669.79,Team 4
LG-882155,Straßenbau // Hertrampfstr.,2018-08-30,2018-12-10,2019-02-04,152805.79,203010.51,Team 4
WD-528343,Stadtpark // Weinhagegasse,2021-12-23,2022-01-16,2022-01-11,178282.34,190313.78,Team 3
KS-243820,Straßenbau // Hentschelstr.,2014-12-06,2015-03-20,2015-03-22,184511.05,262941.31,Team 2
YH-233228,Ubahn // Margarethe-Schenk-Straße,2016-09-29,2016-11-23,2016-12-19,769240.93,770129.8,Team 3
BF-331195,Baumbestand // Dora-Hiller-Gasse,2013-02-25,2013-03-15,2013-03-13,-3619.97,-4009.3,Team 4
PU-843179,Landschaftsbau // Klemens-Heser-Ring,2014-04-20,2014-05-17,2014-05-19,78704.53,82426.25,Team 1
KI-223896,Baumbestand // Steygasse,2014-05-11,2014-05-19,2014-05-22,1275.84,1695.72,Team 2
ZK-879400,Baumbestand // Natascha-Stey-Straße,2016-12-16,2017-01-01,2017-01-30,52561.13,69422.53,Team 2
PK-408511,Baumbestand // Gerti-Trapp-Straße,2015-01-17,2015-01-26,2015-02-16,25571.43,30861.72,Team 2
XQ-737019,Ubahn // Janet-Freudenberger-Gasse,2013-02-08,2013-09-05,2013-08-06,292734.12,425188.31,Team 4
UP-092385,Elektroarbeiten // Wirthallee,2017-08-30,2017-09-16,2017-10-28,94988.04,115695.26,Team 3
UO-514692,Elektroarbeiten // Guteplatz,2014-11-18,2015-01-23,2015-01-24,128047.69,153063.81,Team 4
QW-626888,Elektroarbeiten // Sofia-Boucsein-Straße,2013-03-20,2013-06-19,2013-06-21,170282.36,210229.34,Team 4
PD-206113,Elektroarbeiten // Gehringerweg,2016-01-09,2016-03-12,2016-03-12,18710.83,27999.98,Team 2
VK-427575,Landschaftsbau // Freudenbergerallee,2013-03-20,2013-03-24,2013-03-23,21543.94,30120.06,Team 4
WQ-702443,Landschaftsbau // Stadelmannstraße,2014-10-26,2014-11-03,2014-11-07,61563.94,76692.88,Team 3
XX-131093,Baumbestand // Ackermannplatz,2019-07-28,2019-08-01,2019-07-31,81591.75,87506.05,Team 4
NC-395438,Baumbestand // Schaafallee,2014-12-08,2014-12-24,2014-12-26,62351.87,65784.46,Team 1
MV-331773,Baumbestand // Sieringallee,2019-10-29,2019-11-12,2019-11-12,44095.92,76085.39,Team 2
UG-552061,Elektroarbeiten // Herrmannstr.,2015-06-05,2015-07-23,2015-09-06,-16798.19,-17103.33,Team 3
KP-707732,Landschaftsbau // Gunda-Stiffel-Weg,2019-06-24,2019-07-03,2019-07-05,49026.75,57269.53,Team 2
LJ-477045,Elektroarbeiten // Knappeplatz,2019-08-04,2019-09-17,2019-09-12,81596.63,99163.05,Team 1
VQ-997611,Baumbestand // Ana-Wulf-Gasse,2013-02-09,2013-02-21,2013-02-26,53905.92,58852.25,Team 3
HZ-141269,Elektroarbeiten // Stolzestraße,2015-01-23,2015-02-10,2015-02-06,61858.6,65823.58,Team 1
HH-967363,Elektroarbeiten // Lachmannallee,2021-08-10,2021-09-10,2021-09-10,161063.26,212573.8,Team 2
HG-511520,Elektroarbeiten // Mercedes-Stiffel-Gasse,2017-05-02,2017-05-15,2017-05-13,136598.02,120183.89,Team 2
TF-599276,Baumbestand // Süßebierallee,2017-10-01,2017-10-09,2017-10-12,10408.09,10755.88,Team 3
QF-907763,Straßenbau // Heintzestraße,2020-05-20,2020-08-14,2020-08-17,216017.14,187220.96,Team 1
UY-319852,Landschaftsbau // Rohtgasse,2015-05-08,2015-06-04,2015-06-05,99731.0,111047.04,Team 2
NW-715753,Ubahn // Junkenweg,2020-09-22,2020-12-10,2021-02-20,703274.2,745375.68,Team 3
UL-956627,Ubahn // Kirstin-Hertrampf-Gasse,2019-11-03,2020-01-26,2019-12-28,482401.2,843422.0,Team 4
SV-106202,Spielplatz // Samir-Gumprich-Ring,2015-01-12,2015-01-22,2015-01-22,57963.81,87022.87,Team 3
SE-788118,Baumbestand // Röhrichtplatz,2017-01-21,2017-01-31,2017-02-01,67704.43,72503.45,Team 4
SM-919402,Straßenbau // Roggeallee,2016-10-28,2017-02-10,2017-02-12,250682.38,264968.56,Team 1
OT-124747,Baumbestand // Maurice-Herrmann-Platz,2015-10-02,2015-10-07,2015-10-07,51514.86,47831.52,Team 1
MT-660989,Ubahn // Atzlerplatz,2019-07-01,2019-08-22,2019-10-19,85899.65,112451.22,Team 1
FI-098781,Stadtpark // Kaulplatz,2017-12-29,2018-01-30,2018-03-03,13703.08,24060.85,Team 2
YW-201028,Stadtpark // Schaafstraße,2017-06-06,2017-07-20,2017-07-04,124474.08,157544.98,Team 3
NE-728278,Baumbestand // Strohweg,2019-02-11,2019-02-25,2019-02-25,79112.32,87568.84,Team 1
JS-402987,Ubahn // Lehmanngasse,2013-03-31,2013-06-19,2013-05-11,219623.94,312532.97,Team 4
TG-155122,Stadtpark // Kramerstr.,2015-03-01,2015-04-10,2015-04-09,91160.18,109765.52,Team 4
QF-271343,Elektroarbeiten // Gerhart-Sorgatz-Allee,2014-09-17,2014-10-10,2014-10-10,112695.52,156969.25,Team 2
FL-174000,Elektroarbeiten // Reinhardtgasse,2021-05-27,2021-08-21,2021-08-22,81352.43,82412.12,Team 4
BT-081045,Ubahn // Ilija-Becker-Weg,2021-06-08,2021-11-23,2021-11-08,467481.54,607233.5,Team 4
MA-763876,Landschaftsbau // Claudio-Pärtzelt-Ring,2016-08-19,2016-09-11,2016-09-15,62151.42,73330.15,Team 3
AG-836751,Baumbestand // Anatol-Koch-Allee,2018-12-02,2018-12-15,2018-12-15,21731.24,25235.98,Team 4
IC-236922,Landschaftsbau // Kranzallee,2018-11-20,2018-12-25,2018-12-26,66196.87,68865.73,Team 1
AO-582061,Straßenbau // Heinz-Günther-Knappe-Gasse,2017-06-29,2017-08-01,2017-08-01,70134.53,72451.07,Team 3
IE-166509,Elektroarbeiten // Mirjana-Pärtzelt-Gasse,2013-04-04,2013-05-04,2013-05-04,166131.39,179835.94,Team 4
LB-720440,Ubahn // Anne-Marie-Ernst-Straße,2016-01-19,2016-02-19,2016-05-30,388554.4,466238.15,Team 3
VF-334849,Landschaftsbau // Jungferweg,2020-11-11,2020-12-13,2020-12-14,24121.64,30564.84,Team 4
AX-051454,Straßenbau // Ritterstraße,2022-01-14,2022-04-29,2022-05-25,53231.36,73948.58,Team 4
OE-011087,Elektroarbeiten // Isabel-Binner-Ring,2015-01-29,2015-02-11,2015-03-09,157352.53,165298.64,Team 3
BN-725775,Straßenbau // Södingweg,2020-10-03,2021-02-16,2021-02-19,401285.11,558562.89,Team 1
XK-967951,Landschaftsbau // Kochallee,2017-09-18,2017-10-16,2017-10-18,76102.89,95858.8,Team 3
SW-436978,Baumbestand // Gebhard-Trupp-Gasse,2013-10-05,2013-10-18,2013-10-20,49632.03,63280.85,Team 4
HK-239635,Stadtpark // Irmingard-Pohl-Allee,2021-09-03,2021-11-20,2021-11-19,104686.33,116336.03,Team 4
TV-471652,Baumbestand // Liselotte-van der Dussen-Straße,2018-12-27,2019-01-16,2019-02-16,68503.0,95956.03,Team 2
UO-117999,Baumbestand // Henschelweg,2021-04-06,2021-04-27,2021-04-29,58252.69,66920.31,Team 1
OS-235883,Elektroarbeiten // Jelena-Löwer-Straße,2014-07-21,2014-09-24,2014-09-21,75972.47,86901.01,Team 4
GR-572684,Ubahn // Casparstraße,2019-10-28,2020-04-08,2020-05-29,507789.05,589187.53,Team 3
JE-523600,Stadtpark // Weimerstraße,2013-10-12,2013-10-30,2013-10-30,117123.38,141305.94,Team 2
QD-954409,Elektroarbeiten // Zimmerweg,2017-10-29,2017-12-29,2018-02-07,74433.05,102376.18,Team 2
BR-356916,Baumbestand // Kranzallee,2018-08-07,2018-08-21,2018-08-23,66370.76,71438.03,Team 3
DN-261421,Landschaftsbau // Korbinian-Rogge-Ring,2013-05-11,2013-06-10,2013-06-11,178017.85,194056.69,Team 2
ZA-220256,Straßenbau // Gunpfgasse,2021-04-05,2021-06-27,2021-07-01,157051.38,162937.13,Team 2
MH-471260,Landschaftsbau // Antoinette-Müller-Allee,2017-11-13,2017-12-19,2018-01-23,144152.96,162945.15,Team 2
HD-154045,Landschaftsbau // Heinz Dieter-Geisler-Allee,2016-05-29,2016-06-21,2016-06-25,48083.89,66528.43,Team 4
JO-360191,Ubahn // Jeannette-Drubin-Gasse,2017-12-12,2018-03-14,2018-03-13,683006.54,906213.56,Team 2
QS-382430,Landschaftsbau // Werneckeallee,2016-12-18,2017-01-18,2017-02-22,69941.55,81063.62,Team 2
FF-877815,Spielplatz // Holstenallee,2017-10-18,2017-11-11,2017-11-17,4708.44,5319.04,Team 4
KJ-263913,Landschaftsbau // Scheibestraße,2014-05-01,2014-06-10,2014-06-14,61934.86,90854.7,Team 2
UI-800335,Elektroarbeiten // Trubinstr.,2017-02-15,2017-03-13,2017-04-30,147348.19,189238.96,Team 3
ZX-365901,Stadtpark // Trommlergasse,2014-09-15,2014-10-23,2014-10-22,90370.72,128459.32,Team 2
BW-558402,Stadtpark // Sontagstr.,2017-10-23,2017-11-10,2017-11-11,156714.87,155208.65,Team 4
TJ-365602,Baumbestand // Eberhardtring,2013-04-19,2013-04-29,2013-05-02,18064.04,22254.9,Team 2
IT-031581,Stadtpark // Höfiggasse,2013-08-28,2013-11-01,2013-10-31,74763.56,81666.56,Team 4
QX-499477,Stadtpark // Bauerweg,2013-03-30,2013-04-27,2013-07-03,289627.44,381647.43,Team 1
SK-181318,Baumbestand // Enrico-Gehringer-Straße,2018-03-18,2018-04-02,2018-04-04,42923.6,50535.61,Team 1
PQ-888985,Ubahn // Lübsstraße,2020-10-20,2021-02-25,2021-06-06,141744.87,167430.06,Team 1
KE-599183,Ubahn // Bohlanderplatz,2014-06-09,2015-04-15,2015-04-14,334505.37,440214.29,Team 2
WI-281232,Straßenbau // Lindauallee,2021-07-11,2021-09-15,2021-09-14,178523.23,211899.23,Team 1
GD-139864,Baumbestand // Schottinring,2020-12-07,2020-12-15,2020-12-15,32408.95,38265.3,Team 4
DX-479073,Landschaftsbau // Vladimir-Losekann-Platz,2017-06-28,2017-07-18,2017-07-22,121236.47,160864.59,Team 4
CW-970410,Landschaftsbau // Klaus-Fliegner-Allee,2013-04-08,2013-05-19,2013-05-23,29484.88,35454.56,Team 3
LP-913077,Stadtpark // Rörrichtstr.,2021-10-30,2021-12-13,2022-01-04,67383.91,72063.1,Team 1
KJ-665660,Stadtpark // Fauststr.,2020-09-23,2020-12-10,2021-02-08,124715.38,121201.63,Team 1
ET-680830,Baumbestand // Anthony-Gehringer-Straße,2016-02-04,2016-02-14,2016-02-15,11974.03,13013.48,Team 4
DV-134703,Ubahn // Kadering,2016-06-14,2016-11-03,2016-11-03,565059.21,791008.82,Team 2
VV-320280,Ubahn // Holger-Stoll-Weg,2021-10-17,2022-02-08,2022-01-11,320237.89,482503.43,Team 4
JK-274821,Elektroarbeiten // Hans Jürgen-Schweitzer-Straße,2018-12-19,2019-01-28,2019-01-30,144623.7,154716.92,Team 4
PH-462784,Stadtpark // Harold-Paffrath-Platz,2021-01-09,2021-03-23,2021-03-23,126277.15,140081.08,Team 4
XI-447068,Ubahn // Ariane-Dörr-Gasse,2015-03-29,2015-09-15,2015-10-22,443680.44,478116.65,Team 3
YZ-237558,Ubahn // Thanelplatz,2014-02-11,2014-07-18,2014-06-25,274679.89,291923.59,Team 4
NE-110878,Landschaftsbau // Hartmannstraße,2019-02-19,2019-03-11,2019-03-11,55554.32,69289.86,Team 3
MP-099931,Stadtpark // Insa-Koch II-Allee,2013-07-07,2013-08-21,2013-09-23,89116.89,99594.21,Team 1
MA-300746,Elektroarbeiten // Gießallee,2021-05-14,2021-06-27,2021-06-22,75211.2,85485.6,Team 1
OZ-487547,Stadtpark // Nicole-Ring-Weg,2021-11-30,2022-01-21,2022-03-06,141226.88,159147.52,Team 1
JD-436821,Baumbestand // Heinz-Peter-Krebs-Ring,2013-02-08,2013-02-11,2013-02-13,13496.2,15088.99,Team 4
MQ-170672,Landschaftsbau // Trommlerstr.,2017-02-08,2017-02-27,2017-03-01,80210.1,126568.92,Team 3
QB-288392,Stadtpark // Scholzplatz,2022-02-01,2022-05-18,2022-05-18,158670.55,186854.28,Team 2
QT-015166,Straßenbau // Melitta-Mitschke-Allee,2020-06-22,2020-07-19,2020-07-20,393591.92,500804.69,Team 2
ET-574751,Elektroarbeiten // Ottokar-Seifert-Straße,2014-06-23,2014-07-15,2014-07-15,140104.18,182660.69,Team 2
UG-259295,Landschaftsbau // Nuray-Biggen-Gasse,2018-07-23,2018-09-01,2018-09-08,113864.73,170343.73,Team 3
VZ-618169,Stadtpark // Pölitzplatz,2018-08-23,2018-10-18,2018-10-18,181577.4,278576.58,Team 2
JK-328749,Straßenbau // Horniggasse,2018-08-26,2018-12-02,2019-01-07,190845.93,224224.77,Team 2
XU-035940,Elektroarbeiten // Winfried-Reuter-Straße,2013-06-02,2013-08-26,2013-08-20,96857.8,99863.16,Team 1
DV-029926,Ubahn // Riehlweg,2015-12-01,2016-02-17,2016-06-01,504640.88,587563.46,Team 1
XQ-208278,Stadtpark // Magnus-Förster-Platz,2013-12-31,2014-02-23,2014-02-13,60998.3,81565.28,Team 3
VQ-508476,Straßenbau // Antonino-Grein Groth-Platz,2018-03-07,2018-04-23,2018-06-08,202923.15,263129.75,Team 4
WR-097201,Stadtpark // Sieringgasse,2015-10-30,2016-02-16,2016-01-30,162502.3,189920.12,Team 3
SP-422556,Elektroarbeiten // Juan-Holsten-Allee,2019-10-11,2019-11-28,2019-11-30,108177.14,116086.8,Team 2
WZ-363666,Elektroarbeiten // Hans-Albert-Mielcarek-Straße,2017-05-09,2017-05-30,2017-05-30,130063.7,148177.07,Team 4
GY-410220,Straßenbau // Rosa-Maria-Lehmann-Straße,2017-02-20,2017-05-19,2017-06-06,293062.99,469533.29,Team 4
QC-047279,Stadtpark // Heiko-Pohl-Straße,2020-06-24,2020-07-12,2020-06-24,92345.1,117155.99,Team 3
VD-646824,Baumbestand // Wigbert-Martin-Allee,2015-05-16,2015-05-31,2015-06-01,44745.03,45993.92,Team 1
WK-221905,Spielplatz // Simona-Weiß-Ring,2018-08-30,2018-09-23,2018-09-26,84391.94,92318.44,Team 4
DC-850403,Baumbestand // Truppstraße,2018-08-17,2018-08-21,2018-08-20,89225.38,94688.57,Team 4
GK-726137,Baumbestand // Kornelia-Blümel-Ring,2019-11-25,2019-12-07,2019-12-05,98675.27,113707.01,Team 4
MR-539569,Elektroarbeiten // Cemal-Eberhardt-Ring,2017-09-07,2017-12-22,2017-12-22,116783.85,142185.79,Team 4
WX-309743,Baumbestand // Emma-Täsche-Straße,2020-10-02,2020-10-05,2020-10-08,18691.76,19413.3,Team 3
RY-039178,Straßenbau // Etzoldweg,2015-11-30,2016-06-02,2016-06-05,103916.94,108928.65,Team 1
UT-628058,Baumbestand // Rohtgasse,2016-10-07,2016-10-08,2016-10-10,43691.21,68299.83,Team 2
DU-406852,Straßenbau // Helmut-Löwer-Ring,2014-03-23,2014-07-17,2014-07-18,246498.17,261899.4,Team 3
SU-596352,Elektroarbeiten // Antoinette-Schäfer-Weg,2019-11-20,2020-01-12,2020-01-05,75004.99,73978.23,Team 1
YM-213988,Landschaftsbau // Beierplatz,2021-03-11,2021-04-03,2021-04-01,111145.75,113680.21,Team 2
JO-931649,Landschaftsbau // Henni-Steinberg-Platz,2020-04-25,2020-05-22,2020-05-22,81319.6,96334.05,Team 3
HF-316968,Baumbestand // Reza-Schlosser-Gasse,2018-02-01,2018-02-11,2018-03-27,35811.24,57126.21,Team 2
AX-561896,Elektroarbeiten // Anneke-Metz-Ring,2021-06-14,2021-08-04,2021-08-04,80133.79,88527.93,Team 2
FB-687191,Ubahn // Renate-Schweitzer-Weg,2014-11-23,2015-01-11,2015-02-13,759299.93,929732.85,Team 2
JB-643734,Stadtpark // Schaafstr.,2014-01-02,2014-03-05,2014-02-18,258100.83,307983.47,Team 3
XO-155092,Baumbestand // Huhnallee,2014-09-23,2014-09-30,2014-10-03,51279.06,60642.22,Team 3
IP-709067,Ubahn // Hoffmannring,2016-11-20,2017-02-09,2017-04-22,842333.67,1118314.9,Team 1
VK-167756,Landschaftsbau // Wanda-Johann-Weg,2013-04-18,2013-05-10,2013-05-11,87591.28,101601.53,Team 1
DX-807515,Baumbestand // Ann-Reuter-Ring,2022-01-12,2022-01-18,2022-01-19,56747.73,62268.86,Team 4
TV-618204,Landschaftsbau // Svetlana-Gotthard-Straße,2018-11-30,2018-12-12,2019-01-23,69873.25,83505.64,Team 2
MH-150192,Landschaftsbau // Mitschkegasse,2017-05-24,2017-06-21,2017-06-25,116214.42,135606.65,Team 3
BJ-477361,Landschaftsbau // Ludmila-Meyer-Ring,2018-05-13,2018-05-25,2018-05-27,61361.49,77904.3,Team 2
QU-198784,Elektroarbeiten // Zorbachplatz,2016-03-27,2016-05-18,2016-05-10,116053.96,117677.02,Team 1
JX-980326,Baumbestand // Slavko-Heser-Platz,2021-12-22,2021-12-30,2021-12-30,45366.75,48270.84,Team 4
OB-765261,Baumbestand // Adolphweg,2013-02-23,2013-03-05,2013-03-06,62762.45,61100.95,Team 1
HA-113743,Straßenbau // Hanni-Wiek-Weg,2020-02-28,2020-07-06,2020-08-23,58347.68,77656.16,Team 4
AY-542997,Baumbestand // Hübelallee,2022-01-27,2022-02-14,2022-02-22,88957.0,103651.56,Team 3
