Projekt_ID,Projektname,Projekt_Beginn,Plan_Bau_fertig,Ist_Bau_fertig,Plan_Kosten,Ist_Kosten,Project_team
P-24038,Elektroarbeiten // Bruderring,2016-05-13,2016-06-27,2016-06-25,49337.18,64115.08,Team 2
P-12481,Ubahn // Trappweg,2015-07-07,2015-10-15,2015-09-04,175700.06,257160.6,Team 4
P-06520,Baumbestand // Holtstraße,2014-07-23,2014-08-04,2014-08-05,69879.62,74793.88,Team 1
P-52832,Baumbestand // Kathrin-Gieß-Weg,2019-10-23,2019-11-02,2019-11-03,75949.96,86277.65,Team 1
P-30103,Elektroarbeiten // Uschi-Jessel-Allee,2019-08-23,2019-10-14,2019-10-15,71169.99,84811.85,Team 4
P-35741,Stadtpark // Christa-Maria-Lorch-Weg,2019-02-25,2019-05-03,2019-04-30,-21622.33,-33280.06,Team 2
P-36510,Elektroarbeiten // Friedericke-Baum-Gasse,2017-04-28,2017-06-22,2017-06-20,26547.63,27791.29,Team 1
P-15268,Landschaftsbau // Jähnstraße,2017-01-02,2017-01-04,2017-01-05,86483.35,139711.16,Team 4
P-17957,Landschaftsbau // Hans-Georg-Tintzmann-Platz,2021-09-12,2021-10-02,2021-10-02,106922.75,193227.19,Team 4
P-36225,Stadtpark // Strohstr.,2021-02-15,2021-03-31,2021-03-13,184829.29,226967.58,Team 3
P-84515,Spielplatz // Irena-Franke-Platz,2013-05-08,2013-06-01,2013-06-07,4708.44,5319.04,Team 4
P-46985,Spielplatz // Mitschkeplatz,2020-10-02,2020-12-10,2020-12-17,-4875.26,-5377.68,Team 4
P-72386,Elektroarbeiten // Leo-Süßebier-Allee,2016-10-31,2017-01-17,2017-01-13,122603.74,148386.95,Team 1
P-11805,Ubahn // Alois-Meister-Straße,2020-07-03,2020-10-19,2020-09-06,447734.71,506458.91,Team 4
P-33438,Ubahn // Aleksandar-Lehmann-Ring,2017-09-10,2018-02-27,2018-03-30,399403.08,425613.13,Team 2
P-92590,Baumbestand // Evangelos-Stiffel-Weg,2017-01-29,2017-02-16,2017-02-19,31555.49,34756.65,Team 1
P-15019,Elektroarbeiten // Zita-Kraushaar-Gasse,2018-03-02,2018-04-04,2018-04-25,94352.9,123808.23,Team 3
P-58507,Elektroarbeiten // Natali-Sorgatz-Weg,2015-07-05,2015-09-18,2015-09-21,51717.53,52335.33,Team 1
P-39932,Baumbestand // Julian-Scheuermann-Weg,2019-01-30,2019-02-09,2019-02-18,40787.42,43696.89,Team 3
P-30933,Baumbestand // Theodora-Grein Groth-Straße,2014-07-27,2014-08-06,2014-08-11,25210.33,26357.13,Team 1
P-19139,Straßenbau // Eugenie-Gude-Ring,2016-10-03,2017-04-18,2017-04-22,341113.95,342104.98,Team 3
P-14088,Stadtpark // Sieglinde-Sölzer-Platz,2018-01-24,2018-03-31,2018-05-19,125124.34,137308.76,Team 1
P-01309,Ubahn // Torben-Mans-Ring,2017-03-12,2017-05-24,2017-10-03,246055.44,295042.95,Team 1
P-85350,Stadtpark // Simone-Kobelt-Allee,2015-05-26,2015-07-27,2015-07-14,84709.91,96778.85,Team 3
P-14540,Baumbestand // Ritterstraße,2022-01-07,2022-01-09,2022-01-11,3160.59,3346.16,Team 3
P-53965,Elektroarbeiten // Benjamin-Conradi-Weg,2021-10-26,2022-01-11,2022-01-06,140078.72,162297.57,Team 1
P-58422,Spielplatz // Junkgasse,2021-11-12,2021-12-20,2022-01-31,150212.71,207714.72,Team 2
P-55204,Straßenbau // Beerplatz,2015-07-12,2015-10-25,2015-10-26,137817.68,169220.38,Team 3
P-77183,Stadtpark // Friedrich-Karl-Loos-Weg,2020-10-23,2020-11-01,2020-10-31,292456.87,319331.02,Team 4
P-71323,Landschaftsbau // Willi-Gute-Weg,2014-08-04,2014-08-26,2014-08-27,87591.28,101601.53,Team 1
P-30759,Baumbestand // Karl-Hermann-Jüttner-Weg,2019-03-02,2019-03-02,2019-03-05,47908.21,76801.31,Team 2
P-83577,Baumbestand // Hermannweg,2014-08-29,2014-09-16,2014-09-22,15882.87,17495.49,Team 3
P-31520,Elektroarbeiten // Heßweg,2020-12-31,2021-01-26,2021-01-18,107316.66,124603.08,Team 1
P-76847,Stadtpark // Clemens-Kreusel-Allee,2018-02-05,2018-04-06,2018-04-05,225141.71,262864.44,Team 4
P-66620,Landschaftsbau // Laura-Hartung-Platz,2018-11-07,2018-11-09,2018-11-10,19877.66,32058.67,Team 4
P-95395,Straßenbau // Valeska-Peukert-Platz,2015-04-18,2015-04-18,2015-04-21,144111.22,189775.13,Team 2
P-10007,Spielplatz // Tröstallee,2017-03-04,2017-04-29,2017-05-28,133015.58,158429.15,Team 2
P-92982,Landschaftsbau // Dietzplatz,2021-02-11,2021-03-20,2021-03-24,129241.04,180317.01,Team 3
P-35357,Baumbestand // Zdravko-Fiebig-Weg,2015-03-24,2015-04-01,2015-04-02,55114.21,60127.78,Team 1
P-64542,Spielplatz // Wesackstraße,2016-09-19,2016-11-01,2016-11-03,101750.17,129042.45,Team 3
P-33184,Spielplatz // Girschnerallee,2015-12-14,2016-01-22,2016-01-24,72839.18,83933.1,Team 4
P-14691,Elektroarbeiten // Christiana-Thanel-Ring,2013-12-09,2014-02-26,2014-02-25,119210.05,112661.55,Team 4
P-77519,Landschaftsbau // Kästerweg,2013-06-06,2013-06-08,2013-06-08,109613.99,117185.25,Team 2
P-22999,Elektroarbeiten // Rosegasse,2016-07-07,2016-10-11,2016-10-02,126681.48,147634.74,Team 1
P-91870,Baumbestand // Sönke-Wilmsen-Ring,2017-10-07,2017-10-14,2017-10-18,37444.6,40484.09,Team 3
P-23393,Landschaftsbau // Ivonne-Gorlitz-Allee,2020-10-11,2020-10-30,2020-10-31,117245.09,165717.68,Team 4
P-03961,Stadtpark // Rennerring,2016-04-08,2016-05-31,2016-05-14,128143.06,139591.75,Team 3
P-24470,Landschaftsbau // Beate-Weiß-Gasse,2013-04-13,2013-05-14,2013-05-14,101756.71,103309.45,Team 1
P-07021,Baumbestand // Heinrichstr.,2019-11-13,2019-11-13,2019-11-13,13688.48,14638.31,Team 4
P-98877,Straßenbau // Hellwigplatz,2019-07-25,2019-11-30,2019-12-01,356687.67,371317.16,Team 3
P-24197,Straßenbau // Sabrina-Krebs-Allee,2014-07-28,2014-11-18,2014-11-21,247731.65,291910.41,Team 1
P-01354,Elektroarbeiten // Hinrich-Fischer-Ring,2020-03-16,2020-05-04,2020-06-05,99513.89,150025.62,Team 3
P-34423,Straßenbau // Zobelplatz,2015-02-20,2015-07-12,2015-07-12,291988.62,296872.08,Team 1
P-01540,Landschaftsbau // Hendriksallee,2018-05-29,2018-06-26,2018-06-30,116214.42,135606.65,Team 3
P-93614,Baumbestand // Hildegunde-Mude-Ring,2019-08-13,2019-08-30,2019-08-31,54991.93,55054.91,Team 4
P-05089,Elektroarbeiten // Thoralf-Ruppert-Weg,2021-10-28,2022-01-16,2022-01-17,74983.11,77381.42,Team 4
P-03549,Landschaftsbau // Henschelring,2013-09-05,2013-09-17,2013-09-18,115588.82,189694.88,Team 4
P-60018,Elektroarbeiten // Mielcarekplatz,2021-07-09,2021-08-11,2021-08-15,119666.92,120234.37,Team 4
P-70381,Straßenbau // Karl-August-Pieper-Allee,2017-09-19,2018-01-11,2018-01-12,236869.68,226362.21,Team 3
P-44452,Elektroarbeiten // Frederic-Briemer-Weg,2013-02-19,2013-04-07,2013-04-27,84753.6,105826.29,Team 3
P-89233,Elektroarbeiten // Philippe-Seidel-Allee,2021-12-25,2022-03-06,2022-03-07,115192.98,155277.87,Team 2
P-10390,Elektroarbeiten // Rörrichtstr.,2018-06-06,2018-06-28,2018-07-01,30162.34,39679.97,Team 4
P-34256,Straßenbau // Veli-Atzler-Straße,2018-01-23,2018-05-30,2018-07-11,182185.93,287738.91,Team 4
P-21585,Baumbestand // Neureutherstraße,2015-09-14,2015-09-18,2015-09-21,80926.94,108095.23,Team 2
P-85097,Stadtpark // Tatjana-Jopich-Platz,2017-09-30,2017-10-26,2017-12-13,155652.21,169743.23,Team 1
P-59217,Stadtpark // Janna-Röhricht-Weg,2014-09-14,2014-10-27,2014-12-15,119408.25,129978.55,Team 1
P-13903,Spielplatz // Finkeplatz,2018-11-25,2019-01-01,2019-01-02,147548.66,203801.89,Team 3
P-84282,Baumbestand // Ernstgasse,2019-09-01,2019-09-20,2019-09-21,62564.93,93048.28,Team 2
P-43982,Elektroarbeiten // Adolf-Birnbaum-Weg,2014-07-17,2014-09-30,2014-11-04,76291.3,84738.28,Team 3
P-05230,Landschaftsbau // Hans-Otto-Rosenow-Gasse,2014-07-24,2014-08-31,2014-09-04,30569.33,37262.53,Team 2
P-02754,Ubahn // Volkmar-Baum-Weg,2017-05-20,2017-09-08,2017-09-08,109729.63,139126.94,Team 2
P-31909,Straßenbau // Deborah-Nerger-Ring,2015-04-18,2015-07-03,2015-07-04,250176.65,317443.68,Team 1
P-10172,Baumbestand // Nils-Mende-Platz,2014-02-11,2014-03-04,2014-03-03,22179.21,22766.69,Team 3
P-69093,Elektroarbeiten // Paula-Meyer-Allee,2022-01-10,2022-03-23,2022-03-23,72745.88,90897.76,Team 2
P-51920,Landschaftsbau // Atzlerweg,2015-05-13,2015-06-06,2015-06-08,73867.14,75323.4,Team 2
P-55168,Landschaftsbau // Simon-Berger-Weg,2018-08-20,2018-09-07,2018-09-07,91908.99,113098.61,Team 4
P-27345,Elektroarbeiten // Michaele-Pergande-Allee,2017-09-25,2017-10-30,2017-10-31,91510.92,115491.5,Team 2
P-66617,Landschaftsbau // Seidelgasse,2013-05-28,2013-06-26,2013-06-27,90108.26,86125.28,Team 1
P-12268,Landschaftsbau // Reichmannplatz,2018-03-10,2018-04-04,2018-04-07,99773.01,128034.81,Team 2
P-29371,Stadtpark // Mariechen-Conradi-Straße,2013-03-12,2013-04-15,2013-04-09,102683.53,137724.37,Team 3
P-87864,Stadtpark // Dorit-Salz-Platz,2017-06-22,2017-08-29,2017-08-12,223504.73,241516.84,Team 3
P-81532,Baumbestand // Römerstraße,2018-06-27,2018-07-01,2018-07-02,34391.38,39772.59,Team 1
P-37005,Ubahn // Gertzstr.,2018-03-29,2018-08-04,2018-06-19,59101.16,88405.39,Team 4
P-42712,Stadtpark // Mosemanngasse,2018-08-21,2018-09-28,2018-09-26,123944.88,221370.79,Team 2
P-27043,Stadtpark // Binnerallee,2019-08-10,2019-09-22,2019-09-20,39552.33,60169.83,Team 2
P-30780,Stadtpark // Karl-Hans-Stoll-Straße,2015-06-19,2015-08-29,2015-08-11,311057.69,338825.62,Team 3
P-79483,Elektroarbeiten // Hans-Friedrich-Liebelt-Weg,2014-10-17,2014-12-10,2014-12-05,94323.55,103994.59,Team 1
P-12405,Elektroarbeiten // Sorgatzplatz,2013-03-16,2013-05-02,2013-05-03,196378.13,206783.91,Team 4
P-52568,Baumbestand // Traudl-Junitz-Weg,2020-01-27,2020-02-06,2020-02-07,18425.72,20294.75,Team 3
P-96029,Landschaftsbau // Heinz-Gerd-Rogge-Ring,2014-03-15,2014-04-17,2014-04-21,151160.01,156584.98,Team 1
P-59413,Landschaftsbau // Radischstr.,2013-02-27,2013-04-05,2013-04-04,145912.23,159157.92,Team 1
P-46324,Stadtpark // Leokadia-Hein-Weg,2014-04-01,2014-06-06,2014-06-04,175460.94,266698.15,Team 2
P-12140,Stadtpark // Lorchgasse,2014-01-14,2014-02-25,2014-02-25,127408.83,143123.27,Team 4
P-48016,Ubahn // Oda-Margraf-Platz,2015-11-04,2016-02-12,2016-01-10,746942.76,1041076.14,Team 4
P-70149,Stadtpark // Cord-Siering-Weg,2020-10-26,2020-11-01,2020-12-17,201515.8,194551.49,Team 1
P-77243,Elektroarbeiten // Pergandegasse,2017-11-27,2018-01-04,2018-01-05,88114.95,118565.39,Team 4
P-37426,Elektroarbeiten // Schombergasse,2021-11-08,2021-12-17,2022-01-12,152738.77,221248.39,Team 3
P-24467,Landschaftsbau // Stolzering,2016-05-05,2016-05-25,2016-05-29,136960.32,175489.16,Team 2
P-36752,Landschaftsbau // Curt-Roskoth-Allee,2013-04-13,2013-05-12,2013-05-15,137995.02,171357.94,Team 2
P-24815,Baumbestand // Hänelring,2018-01-15,2018-01-24,2018-01-25,56698.97,63606.11,Team 3
P-44867,Elektroarbeiten // Änne-Tlustek-Ring,2013-04-02,2013-05-14,2013-05-04,109472.81,128986.47,Team 1
P-11921,Elektroarbeiten // Jäntschallee,2015-01-24,2015-03-24,2015-03-23,48741.41,55053.59,Team 4
P-59918,Ubahn // Stumpfring,2015-09-15,2015-12-10,2015-11-12,233331.31,292917.34,Team 4
P-20351,Landschaftsbau // Metin-Pölitz-Weg,2020-04-17,2020-05-06,2020-05-08,42651.87,58146.92,Team 2
P-39655,Straßenbau // Antonino-Zobel-Gasse,2013-08-14,2014-01-18,2014-02-04,-919.19,-1056.99,Team 4
P-43022,Elektroarbeiten // Sontaggasse,2021-04-18,2021-06-23,2021-07-28,98733.35,131372.55,Team 3
P-79761,Landschaftsbau // Imelda-Kade-Platz,2021-06-21,2021-07-11,2021-07-21,76074.13,106166.31,Team 3
P-97325,Elektroarbeiten // Klemmgasse,2013-07-13,2013-09-21,2013-09-16,138933.66,168023.68,Team 1
P-25228,Ubahn // Tröstgasse,2013-03-23,2013-07-18,2013-07-19,391733.01,572360.79,Team 2
P-55639,Baumbestand // Bärerallee,2018-09-17,2018-09-24,2018-09-27,129946.33,149225.41,Team 3
P-89705,Ubahn // Sibel-Jähn-Weg,2014-08-01,2015-02-18,2015-07-20,157127.71,209502.7,Team 1
P-10919,Landschaftsbau // Franz-Josef-Mentzel-Allee,2019-07-21,2019-08-24,2019-08-24,129861.66,152025.84,Team 1
P-66832,Elektroarbeiten // Emil-Fröhlich-Weg,2018-05-25,2018-08-09,2018-08-09,80435.9,109449.44,Team 2
P-44930,Landschaftsbau // Gülay-Hermann-Straße,2020-11-03,2020-11-09,2020-11-10,65532.75,106406.78,Team 4
P-14793,Baumbestand // Muzaffer-Hörle-Ring,2021-07-11,2021-07-22,2021-07-24,82475.15,117821.97,Team 2
P-20831,Ubahn // Mitschkestr.,2014-10-05,2015-03-16,2015-05-11,510056.67,536831.58,Team 3
P-66831,Elektroarbeiten // Gusti-Fischer-Straße,2016-04-30,2016-06-11,2016-07-10,137766.41,213544.49,Team 3
P-07605,Landschaftsbau // Heinrichgasse,2021-01-26,2021-03-01,2021-02-27,79540.05,102122.67,Team 1
P-52124,Stadtpark // Dimitrios-Steinberg-Weg,2015-12-09,2015-12-15,2016-01-13,165084.56,270607.85,Team 2
P-01954,Baumbestand // Jäkelring,2017-11-30,2017-12-08,2017-12-10,40189.73,44036.18,Team 4
P-72857,Baumbestand // Marie-Luise-Beer-Ring,2021-11-24,2021-12-02,2021-12-04,73896.8,82165.12,Team 3
P-96742,Baumbestand // Bärerplatz,2013-07-25,2013-07-28,2013-07-30,52331.9,79456.06,Team 2
P-34237,Stadtpark // Heinzplatz,2015-11-10,2015-12-15,2016-02-15,39676.39,39920.93,Team 1
P-17727,Ubahn // Selma-Hermighausen-Straße,2017-10-06,2018-09-12,2018-08-10,463608.85,674680.94,Team 4
P-43590,Landschaftsbau // Sepp-Buchholz-Weg,2021-11-17,2021-12-07,2021-12-06,64762.64,73540.56,Team 1
P-41923,Stadtpark // Elli-Wende-Straße,2015-05-19,2015-06-10,2015-05-26,50091.16,63258.99,Team 3
P-03039,Ubahn // Benderallee,2013-07-04,2013-11-03,2013-11-03,575999.98,824718.09,Team 2
P-88280,Elektroarbeiten // Gorlitzweg,2020-12-08,2021-02-12,2021-02-12,69113.5,85826.72,Team 4
P-60589,Elektroarbeiten // Vito-Geisel-Gasse,2018-05-15,2018-05-16,2018-05-16,107443.6,149639.01,Team 2
P-28184,Straßenbau // Mansallee,2016-03-04,2016-03-09,2016-03-09,203579.0,288463.04,Team 1
P-62196,Landschaftsbau // Juliane-Schuster-Platz,2020-09-13,2020-10-06,2020-10-10,75083.52,116945.09,Team 3
P-98704,Landschaftsbau // Hörlering,2013-09-13,2013-10-14,2013-10-17,73132.62,79594.74,Team 4
P-39380,Baumbestand // Karzweg,2017-01-18,2017-01-28,2017-02-26,24704.58,30047.38,Team 2
P-63262,Elektroarbeiten // Steinbergstraße,2014-06-24,2014-09-10,2014-10-11,111186.35,144696.88,Team 3
P-94209,Stadtpark // Songül-Johann-Allee,2019-12-03,2020-01-04,2020-01-04,147568.38,156251.75,Team 4
P-60239,Stadtpark // Eva-Hartung-Ring,2021-03-09,2021-05-16,2021-06-13,239430.21,257608.01,Team 1
P-82149,Elektroarbeiten // Karolin-Bähr-Weg,2013-09-03,2013-09-23,2013-09-24,79690.11,87241.61,Team 4
P-47182,Elektroarbeiten // Christophallee,2021-12-13,2022-01-19,2022-02-18,151361.99,222822.59,Team 2
P-32119,Baumbestand // Schweitzerring,2016-01-13,2016-01-19,2016-02-23,85850.3,112024.53,Team 2
P-52173,Spielplatz // Ruppersbergerweg,2015-04-08,2015-06-06,2015-06-18,157607.24,179306.88,Team 2
P-58253,Landschaftsbau // Wolfram-Pieper-Straße,2018-07-31,2018-08-30,2018-08-31,184653.87,215358.88,Team 4
P-31546,Baumbestand // Jesselstraße,2021-02-02,2021-02-05,2021-02-05,56425.47,57312.77,Team 1
P-01172,Elektroarbeiten // Heinplatz,2017-07-08,2017-08-24,2017-08-24,117968.39,129955.18,Team 2
P-12150,Straßenbau // Anne-Junk-Platz,2020-12-21,2021-03-18,2021-04-12,8848.61,10963.34,Team 4
P-49573,Landschaftsbau // Ernst-August-Hölzenbecher-Straße,2014-01-04,2014-01-24,2014-02-26,36332.28,45319.05,Team 2
P-81228,Baumbestand // Matthäus-Thanel-Platz,2013-11-11,2013-11-23,2013-11-23,88685.28,130249.07,Team 2
P-29390,Straßenbau // Neureutherallee,2020-09-17,2021-02-03,2021-02-01,161335.29,175717.94,Team 3
P-60712,Baumbestand // Charles-Liebelt-Weg,2015-02-02,2015-02-12,2015-03-16,69613.27,90104.08,Team 2
P-92403,Baumbestand // Schusterstraße,2018-12-26,2019-01-03,2019-01-09,61476.94,74053.41,Team 3
P-77030,Baumbestand // Pechelgasse,2017-07-22,2017-07-28,2017-07-28,47297.86,54253.49,Team 1
P-60311,Straßenbau // Scheelgasse,2014-12-30,2015-05-04,2015-05-06,122266.66,134459.94,Team 3
P-39670,Baumbestand // Annemie-Stumpf-Weg,2014-10-01,2014-10-08,2014-10-08,75589.57,104819.08,Team 2
P-67890,Elektroarbeiten // Vitali-Hübel-Platz,2019-06-26,2019-09-04,2019-08-29,62588.48,68266.01,Team 1
P-10624,Elektroarbeiten // Seifertweg,2016-09-15,2016-11-04,2016-10-31,117135.19,131189.11,Team 1
P-94968,Stadtpark // Kata-Jacobi Jäckel-Weg,2021-06-15,2021-07-30,2021-07-29,99226.1,106898.71,Team 4
P-29770,Landschaftsbau // Berit-Weinhage-Platz,2019-04-26,2019-05-11,2019-05-12,72450.88,101409.36,Team 4
P-07319,Ubahn // Kata-Schuchhardt-Weg,2017-07-19,2018-03-09,2018-06-15,358436.63,455995.74,Team 1
P-02593,Spielplatz // Elmar-Hoffmann-Straße,2013-05-12,2013-07-01,2013-06-29,131580.12,183498.44,Team 3
P-25932,Stadtpark // Linda-Mude-Allee,2017-07-25,2017-08-10,2017-08-08,94203.59,120218.5,Team 4
P-74996,Landschaftsbau // Sorgatzplatz,2020-04-01,2020-04-23,2020-04-28,99663.57,136292.79,Team 4
P-80668,Landschaftsbau // Anny-Juncken-Platz,2019-04-18,2019-05-06,2019-05-04,121042.75,177226.33,Team 3
P-89064,Landschaftsbau // Matthäiallee,2014-03-31,2014-05-05,2014-05-09,19559.38,24030.43,Team 2
P-67604,Spielplatz // Pohlplatz,2013-04-17,2013-04-21,2013-04-21,24118.33,32996.01,Team 3
P-49654,Ubahn // Gesa-Hertrampf-Gasse,2019-01-26,2019-07-08,2019-08-04,12081.23,13516.88,Team 3
P-37539,Stadtpark // Holstenplatz,2021-12-21,2022-03-10,2022-02-28,195498.7,253968.2,Team 3
P-42553,Landschaftsbau // Wohlgemutstraße,2016-07-01,2016-07-16,2016-07-16,102315.91,148007.56,Team 2
P-19663,Baumbestand // Martin-Wende-Straße,2018-12-18,2018-12-25,2019-01-23,52829.51,74003.46,Team 2
P-33494,Elektroarbeiten // Marco-Kitzmann-Weg,2013-11-26,2013-12-16,2014-02-04,43791.02,63224.96,Team 3
P-40366,Landschaftsbau // Marijan-Cichorius-Straße,2020-08-05,2020-09-05,2020-09-04,107466.15,136008.35,Team 2
P-26578,Baumbestand // Meik-Holzapfel-Straße,2021-11-01,2021-11-11,2021-11-09,42397.37,47973.03,Team 1
P-11015,Baumbestand // Bodo-Blümel-Allee,2013-05-04,2013-05-14,2013-05-18,53443.5,99144.71,Team 2
P-86949,Straßenbau // Stollweg,2021-10-01,2021-10-22,2021-10-28,255871.07,319862.21,Team 2
P-00109,Ubahn // Stadelmannring,2020-11-11,2021-02-05,2021-03-05,213528.71,281383.49,Team 2
P-07661,Ubahn // Gregor-Boucsein-Platz,2021-04-19,2021-08-04,2021-11-22,477339.13,553684.02,Team 1
P-55924,Straßenbau // Kabusstraße,2017-04-24,2017-10-01,2017-11-07,156836.99,239378.01,Team 4
P-44197,Landschaftsbau // Tilly-Bruder-Allee,2019-05-05,2019-06-16,2019-06-15,82383.55,87670.0,Team 1
P-50677,Elektroarbeiten // Marie-Louise-Gehringer-Gasse,2018-07-14,2018-09-02,2018-10-04,133420.8,180921.24,Team 3
P-41604,Elektroarbeiten // Scheelplatz,2021-03-05,2021-04-18,2021-04-17,115671.74,205974.27,Team 2
P-87820,Stadtpark // Aneta-Fliegner-Platz,2021-08-22,2021-11-05,2021-12-16,249905.57,269601.5,Team 1
P-03735,Straßenbau // Serpil-Kühnert-Straße,2020-04-11,2020-08-06,2020-08-09,218539.07,295399.15,Team 2
P-55802,Elektroarbeiten // Beate-Heuser-Allee,2019-08-30,2019-12-15,2019-12-18,65919.31,69529.18,Team 4
P-85865,Spielplatz // Cläre-Dehmel-Weg,2021-06-08,2021-06-27,2021-06-25,127931.92,127398.56,Team 1
P-99423,Landschaftsbau // Rosmarie-Mohaupt-Weg,2021-09-16,2021-10-22,2021-10-25,113114.85,122432.89,Team 2
P-89076,Baumbestand // Bärerallee,2014-04-28,2014-05-08,2014-05-12,7993.45,9264.93,Team 3
P-05784,Elektroarbeiten // Kohlring,2016-07-25,2016-08-31,2016-08-31,153354.85,161032.52,Team 4
P-59931,Straßenbau // Magrit-Rosemann-Ring,2020-01-23,2020-02-24,2020-04-21,185248.59,236967.29,Team 4
P-40229,Spielplatz // Kohlgasse,2015-04-12,2015-05-11,2015-05-11,-8428.89,-12180.64,Team 3
P-95555,Ubahn // Beerweg,2017-06-13,2017-09-04,2017-08-14,368464.25,571935.95,Team 4
P-53790,Baumbestand // Kreuselweg,2018-10-01,2018-10-17,2018-10-17,72812.57,81485.88,Team 4
P-73318,Landschaftsbau // Mendestr.,2016-03-20,2016-04-28,2016-04-28,60075.61,64013.18,Team 1
P-47393,Baumbestand // Klappring,2017-03-18,2017-03-27,2017-03-28,56405.11,65902.93,Team 1
P-17837,Landschaftsbau // Gierschnerstr.,2021-07-19,2021-08-02,2021-08-02,103163.63,112001.73,Team 2
P-03156,Landschaftsbau // Margit-Henk-Weg,2014-02-01,2014-02-04,2014-03-09,54067.5,56896.38,Team 2
P-24196,Straßenbau // Wielochweg,2015-05-23,2015-06-02,2015-06-03,94972.06,106812.41,Team 1
P-42420,Stadtpark // Hentschelallee,2018-08-29,2018-11-03,2018-11-02,261735.56,290496.84,Team 4
P-63030,Baumbestand // Roswitha-Herrmann-Platz,2014-02-08,2014-02-28,2014-03-02,47065.98,49628.95,Team 1
P-35895,Elektroarbeiten // Junckstraße,2020-07-03,2020-08-27,2020-08-18,109297.99,97252.58,Team 1
P-33839,Elektroarbeiten // Misicherweg,2013-09-12,2013-10-03,2013-10-05,-15245.78,-24862.97,Team 2
P-43848,Stadtpark // Wulffring,2015-12-30,2016-03-04,2016-04-22,168812.66,179766.89,Team 1
P-06268,Straßenbau // Junkengasse,2018-10-31,2019-01-14,2019-02-18,90160.77,132516.89,Team 2
P-66545,Baumbestand // Kuschstr.,2017-02-09,2017-02-22,2017-02-24,52988.69,55105.51,Team 4
P-98908,Stadtpark // Hoffmannweg,2018-07-12,2018-07-30,2018-07-31,175416.62,255389.35,Team 3
P-05175,Elektroarbeiten // Müllerstraße,2014-11-11,2014-12-21,2014-12-19,11981.47,13977.8,Team 4
P-85038,Straßenbau // Anni-Kitzmann-Ring,2013-03-27,2013-07-30,2013-08-03,9337.14,12415.84,Team 2
P-82109,Landschaftsbau // Etzlerstraße,2015-07-02,2015-07-24,2015-07-25,121524.23,144387.16,Team 2
P-43448,Stadtpark // Burckhard-Kensy-Weg,2020-08-19,2020-10-27,2020-12-13,40860.89,41899.03,Team 1
P-61767,Ubahn // Jelena-Krein-Gasse,2013-08-12,2013-12-27,2014-02-04,394362.56,435434.27,Team 3
P-15182,Landschaftsbau // Hans-Uwe-Schönland-Platz,2021-01-16,2021-02-07,2021-02-04,78139.03,123580.62,Team 4
P-37593,Baumbestand // Henckallee,2016-08-15,2016-08-18,2016-08-20,89823.4,138829.78,Team 2
P-23267,Straßenbau // Sylvie-Siering-Platz,2018-10-10,2019-01-30,2019-01-28,336481.94,417308.46,Team 1
P-25026,Stadtpark // Flantzgasse,2020-05-29,2020-06-12,2020-07-20,198303.25,218854.36,Team 1
P-57292,Landschaftsbau // Seipstraße,2018-10-29,2018-11-17,2018-11-17,151985.6,249552.68,Team 4
P-77417,Landschaftsbau // Schottinweg,2021-10-30,2021-12-02,2021-12-03,96693.32,107123.81,Team 1
P-71356,Spielplatz // Alexa-Briemer-Ring,2013-08-18,2013-10-07,2013-10-06,101704.93,148809.12,Team 3
P-73245,Landschaftsbau // Ullmannstr.,2013-12-21,2014-01-18,2014-01-23,60219.81,86756.86,Team 3
P-96646,Elektroarbeiten // Rolf-Peter-Zorbach-Allee,2015-11-07,2015-11-23,2016-01-05,91859.67,112519.8,Team 3
P-96288,Elektroarbeiten // Corinna-Krebs-Weg,2017-04-05,2017-06-09,2017-06-06,62849.78,67098.13,Team 1
P-34494,Landschaftsbau // Jüttnerallee,2015-01-25,2015-02-14,2015-02-17,86728.07,116438.01,Team 4
P-00189,Landschaftsbau // Misicherstr.,2015-08-13,2015-08-18,2015-08-20,70826.94,85451.14,Team 3
P-57040,Stadtpark // Patbergallee,2018-01-12,2018-01-16,2018-02-19,234809.23,415329.75,Team 2
P-46187,Baumbestand // Arnfried-Girschner-Allee,2021-04-12,2021-04-26,2021-04-26,16177.37,19197.28,Team 4
P-94274,Spielplatz // Ottfried-Tintzmann-Ring,2017-09-01,2017-09-03,2017-09-01,159948.01,227653.97,Team 3
P-83310,Elektroarbeiten // Heinrichplatz,2016-05-30,2016-08-12,2016-09-12,121453.96,142521.24,Team 3
P-78423,Baumbestand // Ismet-Staude-Straße,2017-05-04,2017-05-22,2017-05-23,66043.48,74463.3,Team 4
P-07579,Stadtpark // Hans Jörg-Hettner-Platz,2017-04-18,2017-06-30,2017-08-02,238839.89,274276.18,Team 1
P-99119,Stadtpark // Kathrin-Stadelmann-Gasse,2013-02-25,2013-03-09,2013-03-09,189786.13,191448.1,Team 4
P-33223,Stadtpark // Klaas-Hettner-Ring,2021-08-01,2021-08-03,2021-08-04,85180.52,138476.46,Team 2
P-43149,Landschaftsbau // Maria-Austermühle-Platz,2013-04-13,2013-06-03,2013-06-06,64658.32,93932.76,Team 3
P-69976,Landschaftsbau // Attila-Gute-Allee,2013-11-24,2013-12-29,2013-12-31,80409.4,85579.04,Team 1
